SNAME,reason
Acalypta cooleyi,out of Metro Bond boundary range
Acalypta lillianis,out of Metro Bond boundary range
Acipenser medirostris pop. 1,out of Metro Bond boundary range
Acipenser medirostris pop. 2,out of Metro Bond boundary range
Aechmophorus clarkii,out of Metro Bond boundary range
Agapetus denningi,extirpation probable
Allomyia scotti,Mt Hood only
Amphispiza bilineata,out of Metro Bond boundary range
Arabis furcata,out of Metro Bond boundary range
Bassariscus astutus,out of Metro Bond boundary range
Batrachoseps attenuatus,out of Metro Bond boundary range
Bembidion tigrinum,out of Metro Bond boundary range
Botrychium montanum,out of Metro Bond boundary range
Brachyramphus marmoratus,out of Metro Bond boundary range
Calamagrostis breweri,occurrences only in southern Oregon
Calidris ptilocnemis,out of Metro Bond boundary range
Callophrys polios maritima,out of Metro Bond boundary range
Capnia kersti,out of Metro Bond boundary range
Carex livida,out of Metro Bond boundary range
Catostomus rimiculus pop. 1,out of Metro Bond boundary range
Cerorhinca monocerata,out of Metro Bond boundary range
Chloealtis aspasma,out of Metro Bond boundary range
Cicindela hirticollis siuslawensis,out of Metro Bond boundary range
Colias occidentalis primordialis,As per NatureServe this is a non status ranked subspecies.  The genus and species are G5; no information as to why this subspecies ranks as needing protection
Colligyrus greggi,No idea why this made the list.  Really.  No protected status that I could find
Collomia larsenii,out of Metro Bond boundary range
Coptis trifolia,out of Metro Bond boundary range
Cryptomastix hendersoni,out of Metro Bond boundary range
Diphasiastrum complanatum,out of Metro Bond boundary range
Draba aureola,out of Metro Bond boundary range
Dryobates albolarvatus,out of Metro Bond boundary range
Dumontia oregonensis,Currently only found in three pools in Southern Oregon; unsure as to why this made the cut for WV
Epilobium luteum,out of Metro Bond boundary range
Erigeron cascadensis,out of Metro Bond boundary range
Erythronium elegans,out of Metro Bond boundary range
Eucephalus gormanii,out of Metro Bond boundary range
Farula davisi,"Likely extirpated; only two specimens known originated in Green Springs Mountain area, Jackson County"
Filipendula occidentalis,out of Metro Bond boundary range
Fluminicola fuscus,"Likely extirpated; only two specimens known originated in Green Springs Mountain area, Jackson County"
Fluminicola multifarius,out of Metro Bond boundary range
Fluminicola sp. 15,out of Metro Bond boundary range
Fluminicola sp. 21,out of Metro Bond boundary range
Fluminicola sp. 4,out of Metro Bond boundary range
Fluminicola sp. 7,out of Metro Bond boundary range
Fluminicola umpquaensis,out of Metro Bond boundary range
Fratercula cirrhata,out of Metro Bond boundary range
Fritillaria camschatcensis,out of Metro Bond boundary range
Gliabates oregonius,out of Metro Bond boundary range
Grylloblatta chintimini,out of Metro Bond boundary range
Hackelia patens var. patens,out of Metro Bond boundary range
Haematopus bachmani,out of Metro Bond boundary range
Helminthoglypta hertleini,out of Metro Bond boundary range
Hesperia colorado oregonia,out of Metro Bond boundary range
Hochbergellus hirsutus,out of Metro Bond boundary range
Homoplectra schuhi,insufficient distribution information
Impatiens ecornuta,out of Metro Bond boundary range
Isoperla umpqua,insufficient distribution information
Juga hemphilli dallesensis,insufficient distribution information
Juga hemphilli hemphilli,insufficient distribution information
